64,4032,32,16384
69,4692,38,19456
74,5402,43,22016
80,6320,50,25600
87,7482,60,30720
94,8742,70,35840
101,10100,80,40960
109,11772,93,47616
118,13806,109,55808
128,16256,128,65536
138,18906,149,76288
149,22052,174,89088
161,25760,203,103936
174,30102,237,121344
188,35156,277,141824
203,41006,322,164864
219,47742,375,192000
237,55932,439,224768
256,65280,512,262144
276,75900,838,429056
298,88506,1040,532480
322,103362,1256,643072
348,120756,1520,778240
376,141000,1768,905216
406,164430,2196,1124352
438,191406,2527,1293824
474,224202,2931,1500672
512,261632,2048,1048576
552,304152,4022,2059264
597,355812,5002,2561024
645,415380,5722,2929664
696,483720,6485,3320320
752,564752,7480,3829760
812,658532,9579,4904448
877,768252,10889,5575168
948,897756,12433,6365696
1024,1047552,8192,4194304
1105,1219920,16968,8687616
1194,1424442,20521,10506752
1290,1662810,23236,11896832
1393,1939056,26215,13422080
1505,2263520,30460,15595520
1625,2639000,39174,20057088
1755,3078270,44279,22670848
1896,3592920,50164,25683968
2048,4192256,32768,16777216
2211,4886310,68460,35051520
2389,5704932,82259,42116608
2580,6653820,92998,47614976
2786,7759010,104715,53614080
3010,9057090,121217,62063104
3250,10559250,158353,81076736
3511,12323610,178545,91415040
3792,14375472,201512,103174144
4096,16773120,131072,67108864
4423,19558506,275662,141138944
4778,22824506,329698,168805376
5160,26620440,371758,190340096
5573,31052756,419584,214827008
6020,36234380,491575,251686400
6501,42256500,636538,325907456
7022,49301462,717051,367130112
7584,57509472,808572,413988864
8192,67100672,524288,268435456
8847,78260562,1102928,564699136
9556,91307580,1319276,675469312
10321,106512720,1487505,761602560
11147,124244462,1678573,859429376
12040,144949560,1971147,1009227264
13003,169065006,2552982,1307126784
14045,197247980,2873472,1471217664
