64,4032,256,16384
69,4692,491,31424
74,5402,579,37056
80,6320,629,40256
87,7482,789,50496
94,8742,932,59648
101,10100,1113,71232
109,11772,1308,83712
118,13806,1499,95936
128,16256,1024,65536
138,18906,2045,130880
149,22052,2459,157376
161,25760,2826,180864
174,30102,3229,206656
188,35156,3760,240640
203,41006,4558,291712
219,47742,5375,344000
237,55932,6113,391232
256,65280,4096,262144
276,75900,8309,531776
298,88506,9814,628096
322,103362,11166,714624
348,120756,12808,819712
376,141000,15157,970048
406,164430,18366,1175424
438,191406,21722,1390208
474,224202,24606,1574784
512,261632,16384,1048576
552,304152,33014,2112896
597,355812,39566,2532224
645,415380,45346,2902144
696,483720,51031,3265984
752,564752,61653,3945792
812,658532,73628,4712192
877,768252,87182,5579648
948,897756,98501,6304064
1024,1047552,65536,4194304
1105,1219920,131588,8421632
1194,1424442,158300,10131200
1290,1662810,180831,11573184
1393,1939056,204899,13113536
1505,2263520,238162,15242368
1625,2639000,296181,18955584
1755,3078270,349783,22386112
1896,3592920,393141,25161024
2048,4192256,262144,16777216
2211,4886310,529767,33905088
2389,5704932,634036,40578304
2580,6653820,724794,46386816
2786,7759010,820637,52520768
3010,9057090,946140,60552960
3250,10559250,1184213,75789632
3511,12323610,1400993,89663552
3792,14375472,1576483,100894912
4096,16773120,1048576,67108864
4423,19558506,2119414,135642496
4778,22824506,2536870,162359680
5160,26620440,2901864,185719296
5573,31052756,3278650,209833600
6020,36234380,3792974,242750336
6501,42256500,4755361,304343104
7022,49301462,5607121,358855744
7584,57509472,6310541,403874624
8192,67100672,4194304,268435456
8847,78260562,8504363,544279232
9556,91307580,10129256,648272384
10321,106512720,11611371,743127744
11147,124244462,13116411,839450304
12040,144949560,15427461,987357504
13003,169065006,18971755,1214192320
14045,197247980,22435982,1435902848
