64,0.05
69,0.05
74,0.05
80,0.0
87,0.0
94,0.0
101,0.05
109,0.05
118,0.05
128,0.1
138,0.1
149,0.05
161,0.0
174,0.0
188,0.0
203,0.0
219,0.0
237,0.05
256,0.05
276,0.05
298,0.05
322,0.05
348,0.05
376,0.05
406,0.2
438,0.1
474,0.1
512,0.15
552,0.2
597,0.2
645,0.25
696,0.3
752,0.4
812,0.4
877,0.5
948,0.6
1024,0.75
1105,0.9
1194,1.05
1290,1.6
1393,1.75
1505,4.2
1625,2.75
1755,3.75
1896,4.35
2048,4.7
2211,10.35
2389,7.25
2580,7.7
2786,10.95
3010,12.45
3250,15.45
3511,18.3
3792,53.15
4096,24.8
4423,43.95
4778,39.65
5160,44.95
5573,110.95
6020,64.45
6501,189.55
7022,139.4
7584,136.45
8192,166.6
8847,270.5
9556,350.4
10321,313.7
11147,427.4
12040,540.05
13003,434.45
14045,855.1
15169,860.9
16384,1141.25
17695,1420.95
19112,1414.05
20642,2306.2
22295,2809.65
24080,3250.1
26007,3219.6
,2043.9
