64,6894.58
69,536.18
74,377.33
80,397.54
87,467.37
94,824.88
101,764.62
109,585.85
118,747.92
128,787.06
138,933.17
149,816.28
161,8592.4
174,9108.8
188,11819.8
203,17875.3
219,20404.2
237,25412.8
256,28129.8
276,30416.4
298,32673.1
322,34932.4
348,37530.2
376,41772.4
406,62591.1
438,83314.6
474,101986.8
512,113401.4
552,129630.3
597,134848.2
645,79727.5
696,82633.7
752,84646.2
812,311337.9
877,344323.6
948,423162.6
1024,438635.1
1105,492350.8
1194,271753.4
1290,291833.0
1393,335093.9
1505,359597.0
1625,528048.4
1755,721499.7
1896,921292.1
2048,875214.3
2211,1021712.2
2389,1106160.0
2580,1196989.0
2786,1301588.3
3010,1393391.9
3250,2152893.4
3511,2999675.6
3792,4633197.3
4096,3307094.8
4423,3966762.1
4778,4135323.3
5160,4579622.3
5573,4993842.3
6020,5325267.0
6501,8648298.9
7022,1.49700928E7
7584,1.84701098E7
8192,1.43531123E7
8847,1.68386031E7
9556,1.70004813E7
10321,1.97429541E7
11147,2.09870275E7
12040,2.2825022E7
13003,3.94141138E7
14045,4.84924446E7
15169,5.8020667E7
16384,6.0703982E7
17695,6.54389184E7
19112,7.07380747E7
20642,9.81385695E7
22295,8.28850538E7
24080,8.97685199E7
26007,1.420648776E8
