64,4032,32,16384
69,4692,38,19456
74,5402,43,22016
80,6320,50,25600
87,7482,60,30720
94,8742,70,35840
101,10100,80,40960
109,11772,93,47616
118,13806,109,55808
128,16256,128,65536
138,18906,149,76288
149,22052,174,89088
161,25760,203,103936
174,30102,237,121344
188,35156,277,141824
203,41006,322,164864
219,47742,375,192000
237,55932,439,224768
256,65280,512,262144
276,75900,636,325632
298,88506,781,399872
322,103362,965,494080
348,120756,1156,591872
376,141000,1351,691712
406,164430,1587,812544
438,191406,1845,944640
474,224202,2142,1096704
512,261632,3574,1829888
552,304152,25577,13095424
597,355812,51852,26548224
645,415380,82137,42054144
696,483720,116594,59696128
752,564752,157378,80577536
812,658532,204799,104857088
877,768252,260514,133383168
948,897756,325387,166598144
1024,1047552,399858,204727296
1105,1219920,487800,249753600
1194,1424442,591290,302740480
1290,1662810,711378,364225536
1393,1939056,850592,435503104
1505,2263520,1014139,519239168
1625,2639000,1203434,616158208
1755,3078270,1424917,729557504
1896,3592920,1684398,862411776
2048,4192256,1985002,1016321024
2211,4886310,2336599,1196338688
2389,5704932,2749290,1407636480
2580,6653820,3227596,1652529152
2786,7759010,3784734,1937783808
3010,9057090,4439066,2272801792
3250,10559250,5196449,2660581888
3511,12323610,6085542,3115797504
3792,14375472,7119712,3645292544
4096,16773120,8325594,4262704128
4423,19558506,9732183,4982877696
4778,22824506,11378458,5825770496
5160,26620440,13291159,6805073408
5573,31052756,15525396,7949002752
6020,36234380,18136809,9286046208
6501,42256500,21171845,10839984640
7022,49301462,24722350,12657843200
7584,57509472,28857866,14775227392
8192,67100672,33687994,17248252928
8847,78260562,39316568,20130082816
9556,91307580,45891821,23496612352
10321,106512720,53554680,27419996160
11147,124244462,62490784,31995281408
12040,144949560,72924808,37337501696
13003,169065006,85077935,43559902720
