64,4032,256,16384
69,4692,298,19072
74,5402,343,21952
80,6320,400,25600
87,7482,473,30272
94,8742,553,35392
101,10100,638,40832
109,11772,743,47552
118,13806,871,55744
128,16256,1024,65536
138,18906,1191,76224
149,22052,1388,88832
161,25760,1620,103680
174,30102,1893,121152
188,35156,2209,141376
203,41006,2576,164864
219,47742,2998,191872
237,55932,3511,224704
256,65280,4096,262144
276,75900,4833,309312
298,88506,5678,363392
322,103362,6649,425536
348,120756,7746,495744
376,141000,8974,574336
406,164430,10579,677056
438,191406,12302,787328
474,224202,14392,921088
512,261632,16384,1048576
552,304152,19289,1234496
597,355812,22782,1458048
645,415380,26556,1699584
696,483720,30600,1958400
752,564752,35344,2262016
812,658532,41788,2674432
877,768252,48858,3126912
948,897756,56855,3638720
1024,1047552,65536,4194304
1105,1219920,77322,4948608
1194,1424442,90124,5767936
1290,1662810,105114,6727296
1393,1939056,122561,7843904
1505,2263520,142954,9149056
1625,2639000,166544,10658816
1755,3078270,194130,12424320
1896,3592920,225616,14439424
2048,4192256,262144,16777216
2211,4886310,307592,19685888
2389,5704932,358935,22971840
2580,6653820,417951,26748864
2786,7759010,487541,31202624
3010,9057090,568881,36408384
3250,10559250,662992,42431488
3511,12323610,773725,49518400
3792,14375472,898704,57517056
4096,16773120,1943161,124362304
4423,19558506,3428043,219394752
4778,22824506,5164218,330509952
5160,26620440,7178985,459455040
5573,31052756,9536061,610307904
6020,36234380,12291132,786632448
6501,42256500,15488949,991292736
7022,49301462,19233100,1230918400
7584,57509472,23585983,1509502912
8192,67100672,28681593,1835621952
8847,78260562,34614517,2215329088
9556,91307580,41551753,2659312192
10321,106512720,49630694,3176364416
11147,124244462,59049585,3779173440
12040,144949560,70046275,4482961600
13003,169065006,82862181,5303179584
