64,4032,256,16384
69,4692,298,19072
74,5402,343,21952
80,6320,400,25600
87,7482,473,30272
94,8742,553,35392
101,10100,638,40832
109,11772,743,47552
118,13806,871,55744
128,16256,1024,65536
138,18906,1229,78656
149,22052,1456,93184
161,25760,1708,109312
174,30102,1994,127616
188,35156,2311,147904
203,41006,2723,174272
219,47742,3164,202496
237,55932,3697,236608
256,65280,4096,262144
276,75900,4945,316480
298,88506,5786,370304
322,103362,6739,431296
348,120756,7812,499968
376,141000,9014,576896
406,164430,10640,680960
438,191406,12358,790912
474,224202,14443,924352
512,261632,16384,1048576
552,304152,19313,1236032
597,355812,22823,1460672
645,415380,26594,1702016
696,483720,30620,1959680
752,564752,35344,2262016
812,658532,41812,2675968
877,768252,48885,3128640
948,897756,56874,3639936
1024,1047552,122106,7814784
1105,1219920,214019,13697216
1194,1424442,322865,20663360
1290,1662810,449585,28773440
1393,1939056,596339,38165696
1505,2263520,768819,49204416
1625,2639000,968349,61974336
1755,3078270,1201490,76895360
1896,3592920,1474912,94394368
2048,4192256,1793210,114765440
2211,4886310,2162784,138418176
2389,5704932,2598105,166278720
2580,6653820,3101407,198490048
2786,7759010,3689428,236123392
3010,9057090,4379236,280271104
3250,10559250,5177476,331358464
3511,12323610,6114711,391341504
3792,14375472,7203861,461047104
4096,16773120,8477754,542576256
4423,19558506,9958962,637373568
4778,22824506,11694897,748473408
5160,26620440,13710628,877480192
5573,31052756,16067221,1028302144
6020,36234380,18818982,1204414848
6501,42256500,22020109,1409286976
7022,49301462,25762454,1648797056
7584,57509472,30120576,1927716864
8192,67100672,35216186,2253835904
8847,78260562,41145799,2633331136
9556,91307580,48079603,3077094592
10321,106512720,56159747,3594223808
11147,124244462,65579541,4197090624
12040,144949560,76577918,4900986752
13003,169065006,89392137,5721096768
14045,197247980,104367123,6679495872
