64,4032,256,16384
69,4692,298,19072
74,5402,343,21952
80,6320,400,25600
87,7482,473,30272
94,8742,553,35392
101,10100,638,40832
109,11772,743,47552
118,13806,871,55744
128,16256,1024,65536
138,18906,1229,78656
149,22052,1491,95424
161,25760,1807,115648
174,30102,2101,134464
188,35156,2421,154944
203,41006,2859,182976
219,47742,3330,213120
237,55932,3900,249600
256,65280,4096,262144
276,75900,5280,337920
298,88506,6247,399808
322,103362,7378,472192
348,120756,8550,547200
376,141000,9824,628736
406,164430,11785,754240
438,191406,13612,871168
474,224202,15737,1007168
512,261632,16384,1048576
552,304152,21350,1366400
597,355812,25519,1633216
645,415380,29779,1905856
696,483720,34278,2193792
752,564752,39292,2514688
812,658532,47241,3023424
877,768252,54648,3497472
948,897756,63338,4053632
1024,1047552,65536,4194304
1105,1219920,85149,5449536
1194,1424442,102282,6546048
1290,1662810,118817,7604288
1393,1939056,137281,8785984
1505,2263520,158850,10166400
1625,2639000,189413,12122432
1755,3078270,218821,14004544
1896,3592920,252757,16176448
2048,4192256,262144,16777216
2211,4886310,340785,21810240
2389,5704932,410000,26240000
2580,6653820,474997,30399808
2786,7759010,547939,35068096
3010,9057090,632621,40487744
3250,10559250,758260,48528640
3511,12323610,875750,56048000
3792,14375472,1009853,64630592
4096,16773120,1048576,67108864
4423,19558506,1365027,87361728
4778,22824506,1640854,105014656
5160,26620440,1896869,121399616
5573,31052756,2193266,140369024
6020,36234380,2530945,161980480
6501,42256500,3031490,194015360
7022,49301462,3504398,224281472
7584,57509472,4044634,258856576
8192,67100672,4194304,268435456
8847,78260562,5477740,350575360
9556,91307580,6563541,420066624
10321,106512720,7589007,485696448
11147,124244462,8771867,561399488
12040,144949560,10136751,648752064
13003,169065006,12127710,776173440
14045,197247980,14014264,896912896
15169,230083392,16201421,1036890944
