64,4032,256,16384
69,4692,298,19072
74,5402,343,21952
80,6320,400,25600
87,7482,473,30272
94,8742,553,35392
101,10100,638,40832
109,11772,743,47552
118,13806,871,55744
128,16256,1024,65536
138,18906,1191,76224
149,22052,1388,88832
161,25760,1620,103680
174,30102,1893,121152
188,35156,2209,141376
203,41006,2576,164864
219,47742,2998,191872
237,55932,3511,224704
256,65280,4096,262144
276,75900,4786,306304
298,88506,5685,363840
322,103362,6812,435968
348,120756,7960,509440
376,141000,9212,589568
406,164430,10786,690304
438,191406,12668,810752
474,224202,14813,948032
512,261632,16384,1048576
552,304152,19803,1267392
597,355812,23605,1510720
645,415380,27815,1780160
696,483720,32103,2054592
752,564752,37036,2370304
812,658532,43493,2783552
877,768252,51216,3277824
948,897756,59635,3816640
1024,1047552,65536,4194304
1105,1219920,80392,5145088
1194,1424442,95408,6106112
1290,1662810,111565,7140160
1393,1939056,129441,8284224
1505,2263520,150382,9624448
1625,2639000,174562,11171968
1755,3078270,205663,13162432
1896,3592920,238894,15289216
2048,4192256,262144,16777216
2211,4886310,322113,20615232
2389,5704932,382776,24497664
2580,6653820,445978,28542592
2786,7759010,516239,33039296
3010,9057090,599883,38392512
3250,10559250,697282,44626048
3511,12323610,823096,52678144
3792,14375472,955582,61157248
4096,16773120,1048576,67108864
4423,19558506,1289023,82497472
4778,22824506,1532709,98093376
5160,26620440,1782054,114051456
5573,31052756,2067852,132342528
6020,36234380,2396245,153359680
6501,42256500,2789247,178511808
7022,49301462,3292873,210743872
7584,57509472,3822332,244629248
8192,67100672,4194304,268435456
8847,78260562,5157215,330061760
9556,91307580,6134279,392593856
10321,106512720,7124571,455972544
11147,124244462,8270223,529294272
12040,144949560,9590429,613787456
13003,169065006,11155590,713957760
14045,197247980,13171570,842980480
