64,0.3
69,0.2
74,0.05
80,0.05
87,0.1
94,0.1
101,0.1
109,0.15
118,0.2
128,0.2
138,0.2
149,0.3
161,0.25
174,0.3
188,0.35
203,0.5
219,0.65
237,0.95
256,0.85
276,0.95
298,1.0
322,1.1
348,1.2
376,1.3
406,0.8
438,1.2
474,1.45
512,1.6
552,1.65
597,1.95
645,1.95
696,2.1
752,2.2
812,3.5
877,4.75
948,5.7
1024,6.0
1105,6.95
1194,7.1
1290,8.3
1393,9.55
1505,10.3
1625,17.6
1755,22.7
1896,31.15
2048,36.4
2211,32.5
2389,35.25
2580,37.8
2786,40.8
3010,44.5
3250,71.25
3511,97.3
3792,119.6
4096,132.3
4423,129.4
4778,136.15
5160,147.7
5573,158.65
6020,166.3
6501,285.6
7022,402.85
7584,505.9
8192,585.0
8847,537.35
9556,559.05
10321,607.85
11147,620.85
12040,706.65
13003,1042.55
14045,1574.85
15169,1897.5
16384,2120.45
17695,2040.6
95,2042.85
19112,2157.9
