64,4032,4,16384
69,4692,5,20480
74,5402,6,24576
80,6320,7,28672
87,7482,8,32768
94,8742,9,36864
101,10100,10,40960
109,11772,12,49152
118,13806,14,57344
128,16256,16,65536
138,18906,19,77824
149,22052,22,90112
161,25760,26,106496
174,30102,30,122880
188,35156,35,143360
203,41006,41,167936
219,47742,47,192512
237,55932,55,225280
256,65280,64,262144
276,75900,2883,11808768
298,88506,6003,24588288
322,103362,9989,40914944
348,120756,14747,60403712
376,141000,20341,83316736
406,164430,27508,112672768
438,191406,36439,149254144
474,224202,47829,195907584
512,261632,61503,251916288
552,304152,78619,322023424
597,355812,100420,411320320
645,415380,127949,524079104
696,483720,161667,662188032
752,564752,205061,839929856
812,658532,259147,1061466112
877,768252,327289,1340575744
948,897756,414231,1696690176
1024,1047552,522783,2141319168
1105,1219920,609134,2495012864
1194,1424442,711570,2914590720
1290,1662810,830983,3403706368
1393,1939056,969340,3970416640
1505,2263520,1131842,4636024832
1625,2639000,1319886,5406253056
1755,3078270,1539859,6307262464
1896,3592920,1797581,7362891776
2048,4192256,2097182,8590057472
2211,4886310,2445223,10015633408
2389,5704932,2855055,11694305280
2580,6653820,3330209,13640536064
2786,7759010,3883550,15907020800
3010,9057090,4533450,18569011200
3250,10559250,5285498,21649399808
3511,12323610,6168820,25267486720
3792,14375472,7195997,29474803712
4096,16773120,8394780,34385018880
4423,19558506,9790688,40102658048
4778,22824506,11425586,46799200256
5160,26620440,13325834,54582616064
5573,31052756,15544585,63670620160
6020,36234380,18138366,74294747136
6501,42256500,21152856,86642098176
7022,49301462,24679295,101086392320
7584,57509472,28787768,117914697728
8192,67100672,33585176,137564880896
8847,78260562,39174759,160459812864
9556,91307580,45705408,187209351168
10321,106512720,53316158,218382983168
11147,124244462,62191505,254736404480
12040,144949560,72555022,297185370112
13003,169065006,84625513,346626101248
